,Place_ID,Bar,Cafe,Restaurant
167,ChIJMw6Ee0JZei4RRSLB5zVtCuE,0,0,1
168,ChIJBXqGczdYei4RsjWM7uxZySA,0,0,1
169,ChIJg-gocxlZei4RH24GrJ9DVoU,0,0,1
170,ChIJA_TX9i9Yei4REZL_Vpyx0d0,0,0,1
171,ChIJyXpiVRRZei4RdPHSiFKNkqM,0,0,1
172,ChIJzd-rfDpYei4ROf1Ymv0J73M,0,0,1
173,ChIJl53_sYlZei4R-CWZpG7De4A,0,0,1
174,ChIJgwYLhRhZei4RSHqxAosshW4,0,0,1
175,ChIJH03CYY1Xei4RTDTe65njvUk,0,0,1
176,ChIJg3CaIY5Xei4RrT-hva7-Tlc,0,0,1
177,ChIJQ0TDfJpXei4RzEK9QFANA-I,0,0,1
178,ChIJVVVV5ZNXei4RQ7VP10KBjvI,0,0,1
179,ChIJBeNrKoxXei4RAyQptQpP_pc,0,0,1
180,ChIJHwz-Po5Xei4R-N7qyxtHbGE,0,0,1
181,ChIJnzVRVoVXei4RJ9QzCjqFRDw,0,0,1
182,ChIJxWtbvYdXei4RUQmGKKy3T_E,0,0,1
183,ChIJyeEZeL5Xei4RoqmIq02SNkE,0,0,1
184,ChIJJ6Mb05BXei4RXrBRXdq0-lk,0,0,1
185,ChIJgzzGYYVXei4RS49c3xSRo4k,0,0,1
186,ChIJpVVQ9qhXei4RNGoYw4mEetY,0,0,1
187,ChIJI7HNz5pXei4R1NJ-7Tqz7Jc,0,0,1
188,ChIJK1iTgZpXei4ROLKLxDVflS4,0,0,1
189,ChIJcx431slXei4RaCxwf1VderQ,0,0,1
190,ChIJud7zM9hXei4RPbbEE7GyUuc,0,0,1
191,ChIJ1YQj6o9Xei4Ra86bw1zxmHM,0,0,1
192,ChIJf3iH8pBXei4R_oCFHVA-gSk,0,0,1
193,ChIJrWxw2RBXei4Rfc1WYdsDe2Q,0,0,1
194,ChIJp5m44EtXei4RwgoWXrdz_Cs,0,0,1
195,ChIJN1uZAtXjei4RlVT8vPJ5up4,0,0,1
196,ChIJIUp0Ldfjei4R8ZckxhTEhQQ,0,0,1
197,ChIJa5WKCSvjei4RQMsefzPqpoI,0,0,1
198,ChIJOawQTR3jei4RZWem3I1GX1U,0,0,1
199,ChIJWWHyIXHjei4RQ8lsnYhV9JE,0,0,1
200,ChIJOS-pD43jei4R_3wj4dggRiQ,0,0,1
201,ChIJS2Wn74bjei4RIysQYsLqhHU,0,0,1
202,ChIJU-mjYm7jei4RKHXQd_6o15I,0,0,1
203,ChIJdyb3r5bjei4RFnzWAsdXXEU,0,0,1
204,ChIJX6u9Na_lei4R_R1Ws3JNCDo,0,0,1
205,ChIJu_bH1NXlei4RtMuaNudPpMk,0,0,1
206,ChIJtwxBbAbjei4RwEME-Csmkrw,0,0,1
207,ChIJzz8Kp8jlei4RkevG0tF1qMM,0,0,1
208,ChIJc485JOfjei4RgwFH0sL7t5I,0,0,1
209,ChIJO8S-DKflei4RHosJQIrfqmU,0,0,1
210,ChIJ-_yJLIjjei4R-11Vhbvo-YI,0,0,1
211,ChIJ2QHZnrzlei4R1-l_xKGchiw,0,0,1
212,ChIJqTkh25tZei4RArDcuobkOd0,0,0,1
213,ChIJzcwe25tZei4RJYI_emOhhow,0,0,1
214,ChIJ_VWGOd9Zei4RGphcYh2El_E,0,0,1
215,ChIJt2PG1ZtZei4REnoJywd4IAI,0,0,1
216,ChIJ1QFds_ZZei4RnpmR9Uwmgjc,0,0,1
217,ChIJeRiIrwFZei4RGx6be67F-o8,0,0,1
218,ChIJO4kFstFZei4RL_qPXxD4Ca8,0,0,1
219,ChIJRWfCBPRZei4RPfi2PSkLiZE,0,0,1
220,ChIJHWdmWJlZei4RkOkw1sIDXeY,0,0,1
221,ChIJvzMt5OBZei4RiALJAMxEPyQ,0,0,1
222,ChIJde0ogXVZei4RHaUQmj-bnPo,0,0,1
223,ChIJrzh2wY1Zei4RgjTJhLUiNM4,0,0,1
224,ChIJt6hL6T1Zei4R0Rrug12_cgA,0,0,1
225,ChIJkSiPUQZZei4RtET1fz9IPj8,0,0,1
226,ChIJ_0wF-JtZei4RgYVpTA18vxY,0,0,1
227,ChIJO_935EhZei4Ra95gJQ75TJ8,0,0,1
228,ChIJTzJ8dKVZei4RB5NCECD6XUk,0,0,1
229,ChIJG1EuGPRZei4R5a09OXvdaIA,0,0,1
230,ChIJdz4lkJtZei4RvPfnV1JkZWE,0,0,1
231,ChIJWVjCnfVZei4RZZuwit_iDuc,0,0,1
232,ChIJU4QlnBxZei4RdIcfqaZ55po,0,0,1
